Letra	Ocurrencias	Frecuencia	Puntuacion
a	96567	0.143092	0.143092
b	12873	0.0190751	0.0572253
c	37858	0.0560976	0.168293
d	25903	0.0383828	0.0767657
e	65755	0.0974352	0.0974352
f	7424	0.0110008	0.0440033
g	11634	0.0172392	0.0344783
h	7040	0.0104318	0.0417272
i	57792	0.0856357	0.0856357
j	4368	0.00647246	0.0517797
k	133	0.000197078	0.000197078
l	33293	0.0493333	0.0493333
m	21824	0.0323386	0.0970158
n	42590	0.0631095	0.0631095
o	67006	0.0992889	0.0992889
p	16226	0.0240435	0.0721306
q	2697	0.00399639	0.019982
r	63214	0.0936699	0.0936699
s	28406	0.0420918	0.0420918
t	36801	0.0545314	0.0545314
u	21321	0.0315933	0.0315933
v	6373	0.00944345	0.0377738
w	36	5.33445e-05	0.000213378
x	1159	0.0017174	0.0137392
y	1119	0.00165812	0.0066325
z	5447	0.00807132	0.0807132
